Date,Received Quantity,Received Currency,Sent Quantity,Sent Currency
Invalid date,,,58119.731581,UST
Invalid date,,,75,UST
Invalid date,23242.35100583666,UST,23275.846863,USDT
Invalid date,0.2,ETH,,
Invalid date,34951.38191317261,UST,34999,USDC
Invalid date,0.9986622883745916,UST,1,USDC
Invalid date,23275.846863,USDT,,
Invalid date,35000,USDC,,
Invalid date,,,10205.709433999999,UST
Invalid date,,,10,UST
Invalid date,10215.70943402965,UST,10230.40993709498,DAI
Invalid date,10230.40993709498,DAI,,
Invalid date,,,14355.345493,USDC
Invalid date,,,100,USDC
Invalid date,14455.345493,USDC,14455.030603847219,alUSD
Invalid date,,,2454.739451318244,DAI
Invalid date,,,5458.630207,USDT
Invalid date,,,6611.321174,USDC
Invalid date,28979.718695165466,USDT-USDC-DAI-alUSD,28817.459948825173,alUSD3CRV-f
Invalid date,28817.459948825173,alUSD3CRV-f,28817.459948825173,alUSD3CRV-f-gauge
Invalid date,28817.459948825173,alUSD3CRV-f-gauge,28817.459948825173,alUSD3CRV-f
Invalid date,28817.459948825173,alUSD3CRV-f,28997.52,USDC
Invalid date,,,30000,USDC
Invalid date,58997.522741,USDC,,
Invalid date,,,10000,USDC
Invalid date,10000,USDC,,
Invalid date,,,1000,USDC
Invalid date,0.1,ETH,,
Invalid date,1000,USDC,,
